Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,129.063095,129.942642,128.843216,129.464630,106.306763,3293436
2020-01-03,127.695984,128.929260,127.686424,128.432129,105.458954,2482890
2020-01-06,127.552582,128.336517,127.342255,128.202682,105.270554,2537073
2020-01-07,127.810707,129.024857,127.533463,128.288712,105.341179,3232977
2020-01-08,128.594650,129.885284,128.030594,129.359467,106.220413,4545916
2020-01-09,129.770554,130.774384,129.359467,130.726578,107.342987,3902208
2020-01-10,130.975143,131.806885,130.315491,130.678772,107.303749,3405148
2020-01-13,129.521988,130.630981,129.130020,130.592728,107.233086,3693426
2020-01-14,130.286804,131.108994,129.588913,129.847031,106.620743,3850326
2020-01-15,130.019119,131.988525,129.741867,130.611862,107.248787,4232011
2020-01-16,131.281067,132.112808,130.984711,131.912048,108.316406,4519661
2020-01-17,130.535370,132.246658,130.172089,132.227539,108.575470,5881972
2020-01-21,131.749527,133.221802,131.548752,133.049713,109.250580,7577329
2020-01-22,137.017212,139.378586,136.281067,137.562134,112.955833,17228038
2020-01-23,137.858505,138.059280,135.898666,136.587006,112.155121,5918059
2020-01-24,137.084137,137.590820,134.282990,134.378586,110.341751,5836889
2020-01-27,132.409180,133.910141,132.026764,132.523895,108.818817,4358264
2020-01-28,133.365204,134.292542,132.648178,133.412994,109.548882,3610374
2020-01-29,133.049713,133.441681,131.548752,131.634796,108.088745,3194275
2020-01-30,130.745697,130.946457,129.034424,130.755264,107.366547,5290563
2020-01-31,136.615677,137.715103,134.598465,137.409180,112.830238,19868352
2020-02-03,137.906311,140.803055,137.571701,139.837479,114.824203,9295488
2020-02-04,141.281067,142.810699,140.420654,142.552582,117.053650,5879566
2020-02-05,143.604202,150.516251,143.546844,149.455063,122.721443,15048593
2020-02-06,149.923523,151.768646,148.585083,149.866150,123.058998,8786923
2020-02-07,147.753342,148.699814,146.195023,146.663483,121.686729,6718876
2020-02-10,146.242828,147.648178,144.913956,147.638626,122.495834,5480831
2020-02-11,148.298279,148.393875,146.013382,146.730408,121.742279,4011515
2020-02-12,146.988525,148.757172,146.768646,148.479919,123.193832,4641939
2020-02-13,147.581268,148.021027,146.663483,147.523895,122.400620,3996452
2020-02-14,147.629059,147.762909,143.183563,144.072662,119.537148,6379763
2020-02-18,143.202682,144.722748,143.059280,144.455063,119.854408,3496778
2020-02-19,144.875717,145.210327,143.699814,144.225616,119.664063,2858613
2020-02-20,144.177826,144.952194,142.934998,144.569794,119.949600,3013003
2020-02-21,144.397705,144.397705,142.294449,143.250473,118.854973,3699597
2020-02-24,139.110901,141.539200,138.986618,139.990433,116.150108,5703210
2020-02-25,140.066925,140.602295,135.047806,135.478012,112.406136,6497229
2020-02-26,136.615677,137.724670,133.460800,133.604202,110.851440,5656663
2020-02-27,131.204590,132.590820,127.160614,127.256210,105.584526,8808471
2020-02-28,124.263863,125.325050,120.803062,124.426384,103.236603,13607832
2020-03-02,125.000000,128.527725,122.323135,128.393875,106.528442,8923844
2020-03-03,128.565964,130.114716,122.179733,123.231361,102.245079,8259321
2020-03-04,125.793503,128.374756,123.326958,128.317398,106.464981,5226234
2020-03-05,124.760994,126.472275,122.801147,123.852776,102.760696,5696725
2020-03-06,121.128105,122.686424,119.043976,122.112808,101.317024,8570192
2020-03-09,114.875717,117.026772,112.122368,112.629066,93.448380,11252345
2020-03-10,117.380501,119.388145,110.669212,119.282982,98.969139,11935592
2020-03-11,115.688339,117.189293,111.261948,112.782028,93.575287,8835039
2020-03-12,104.827919,104.971321,97.782028,98.288719,81.550179,13088284
2020-03-13,103.900574,104.359467,96.376671,103.202675,85.627289,13077197
2020-03-16,93.690247,102.686424,90.822182,94.722755,78.591499,11054128
