Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.936384,1.004464,0.907924,0.999442,0.847207,535796800
2000-01-04,0.966518,0.987723,0.903460,0.915179,0.775779,512377600
2000-01-05,0.926339,0.987165,0.919643,0.928571,0.787131,778321600
2000-01-06,0.947545,0.955357,0.848214,0.848214,0.719014,767972800
2000-01-07,0.861607,0.901786,0.852679,0.888393,0.753073,460734400
2000-01-10,0.910714,0.912946,0.845982,0.872768,0.739828,505064000
2000-01-11,0.856585,0.887277,0.808036,0.828125,0.701985,441548800
2000-01-12,0.848214,0.852679,0.772321,0.778460,0.659885,976068800
2000-01-13,0.843610,0.881696,0.825893,0.863839,0.732259,1032684800
2000-01-14,0.892857,0.912946,0.887277,0.896763,0.760168,390376000
2000-01-18,0.901786,0.946429,0.896763,0.928013,0.786658,459177600
2000-01-19,0.943080,0.970982,0.922991,0.951451,0.806526,597643200
2000-01-20,1.031250,1.084821,1.013393,1.013393,0.859033,1831132800
2000-01-21,1.020089,1.020089,0.983817,0.993862,0.842477,495924800
2000-01-24,0.968192,1.006696,0.938616,0.948661,0.804161,440876800
2000-01-25,0.937500,1.010045,0.914063,1.002232,0.849572,497145600
2000-01-26,0.982143,1.019531,0.979911,0.983817,0.833962,367158400
2000-01-27,0.971540,1.008929,0.955357,0.982143,0.832543,340144000
2000-01-28,0.965960,0.989955,0.898438,0.907366,0.769156,423348800
2000-01-31,0.901786,0.927455,0.843750,0.926339,0.785239,701680000
2000-02-01,0.928571,0.937500,0.892857,0.895089,0.758749,318035200
2000-02-02,0.899554,0.911830,0.866071,0.882254,0.747869,464195200
2000-02-03,0.895647,0.930804,0.895089,0.922433,0.781928,475193600
2000-02-04,0.928013,0.982143,0.925223,0.964286,0.817406,425320000
2000-02-07,0.964286,1.020089,0.945871,1.018415,0.863290,441067200
2000-02-08,1.017857,1.036830,0.993304,1.025670,0.869440,408643200
2000-02-09,1.018973,1.045759,1.003906,1.005580,0.852410,299364800
2000-02-10,1.007813,1.016741,0.982143,1.013393,0.859033,302982400
2000-02-11,1.014509,1.018973,0.966518,0.970982,0.823082,212251200
2000-02-14,0.976004,1.034598,0.969866,1.034040,0.876535,367539200
2000-02-15,1.029018,1.070871,1.028460,1.062500,0.900659,485744000
2000-02-16,1.051339,1.054688,1.001116,1.018973,0.863763,378246400
2000-02-17,1.028460,1.031250,1.010045,1.025670,0.869440,289497600
2000-02-18,1.023438,1.030134,0.989955,0.993304,0.842004,233441600
2000-02-22,0.983259,1.044085,0.952567,1.016183,0.861398,422296000
2000-02-23,1.011021,1.062500,0.991071,1.037946,0.879846,473099200
2000-02-24,1.047433,1.063616,0.997768,1.028599,0.871923,376432000
2000-02-25,1.025112,1.044643,0.983259,0.985491,0.835381,249144000
2000-02-28,0.983259,1.026786,0.967634,1.011161,0.857141,328328000
2000-02-29,1.013951,1.046875,1.005022,1.023438,0.867548,368961600
2000-03-01,1.058594,1.179129,1.058036,1.163504,0.986279,1077003200
2000-03-02,1.133929,1.142299,1.077567,1.089286,0.923366,311259200
2000-03-03,1.114955,1.144950,1.071429,1.142857,0.968777,323366400
2000-03-06,1.125000,1.152902,1.116071,1.122210,0.951275,210560000
2000-03-07,1.128906,1.137835,1.081473,1.097098,0.929987,273011200
2000-03-08,1.097098,1.106585,1.058594,1.089286,0.923366,271230400
2000-03-09,1.079241,1.116071,1.055804,1.091518,0.925258,276718400
2000-03-10,1.086496,1.142299,1.080357,1.122768,0.951748,248606400
2000-03-13,1.090402,1.129464,1.066964,1.083147,0.918162,303956800
2000-03-14,1.082310,1.109375,1.017857,1.020089,0.864709,428579200
2000-03-15,1.032366,1.073661,1.018973,1.037946,0.879846,443609600
2000-03-16,1.047433,1.089286,1.022321,1.085379,0.920054,378100800
2000-03-17,1.072545,1.116071,1.068080,1.116071,0.946071,305043200
2000-03-20,1.102679,1.127232,1.092634,1.098214,0.930934,204489600
2000-03-21,1.094308,1.220982,1.085938,1.204799,1.021284,524328000
2000-03-22,1.185547,1.289063,1.174665,1.287388,1.091292,567996800
2000-03-23,1.267857,1.342634,1.250000,1.261719,1.069534,562564800
2000-03-24,1.271763,1.285156,1.209821,1.238281,1.049666,446913600
2000-03-27,1.228795,1.292411,1.222098,1.246094,1.056289,279182400
2000-03-28,1.225446,1.267857,1.224330,1.242188,1.052977,202966400
2000-03-29,1.244420,1.244978,1.194894,1.213728,1.028853,239836800
2000-03-30,1.192522,1.229353,1.119978,1.122768,0.951748,414400000
2000-03-31,1.137835,1.225446,1.125000,1.212612,1.027907,404633600
2000-04-03,1.209821,1.245536,1.155692,1.190290,1.008985,328563200
2000-04-04,1.184152,1.187500,1.042411,1.136719,0.963574,660329600
2000-04-05,1.129185,1.186384,1.107143,1.164063,0.986752,457665600
2000-04-06,1.166295,1.200893,1.100446,1.117746,0.947491,259627200
2000-04-07,1.136161,1.177455,1.120536,1.176339,0.997159,242435200
2000-04-10,1.175781,1.185268,1.113839,1.116071,0.946071,212262400
2000-04-11,1.102679,1.114955,1.054129,1.066406,0.903971,541822400
2000-04-12,1.062500,1.062500,0.936384,0.975446,0.826866,941136000
2000-04-13,0.995536,1.071429,0.968750,1.016183,0.861398,529827200
2000-04-14,0.976004,1.053571,0.973214,0.998884,0.846734,667620800
2000-04-17,0.977679,1.106585,0.973772,1.106027,0.937557,409561600
2000-04-18,1.102679,1.132813,1.065848,1.132813,0.960262,390924800
2000-04-19,1.126674,1.162946,1.069196,1.081473,0.916743,520150400
2000-04-20,1.104353,1.113839,1.045201,1.061384,0.899714,722120000
2000-04-24,1.026786,1.075893,1.024554,1.075893,0.912013,443620800
2000-04-25,1.090402,1.149554,1.089844,1.145647,0.971142,391641600
2000-04-26,1.130580,1.142857,1.071429,1.083147,0.918162,366912000
2000-04-27,1.046317,1.133929,1.040876,1.131696,0.959316,326603200
2000-04-28,1.135045,1.138393,1.083147,1.107701,0.938976,249580800
2000-05-01,1.114955,1.117188,1.088170,1.109933,0.940868,226195200
2000-05-02,1.100446,1.127232,1.049107,1.052455,0.892145,236432000
2000-05-03,1.061942,1.082589,0.996652,1.027344,0.870859,489798400
2000-05-04,1.027902,1.029018,0.987165,0.988281,0.837746,399515200
2000-05-05,0.989397,1.024554,0.988560,1.010045,0.856195,284076800
2000-05-08,1.000837,1.015067,0.982143,0.983259,0.833489,184900800
2000-05-09,0.984933,0.993304,0.936384,0.941406,0.798011,327140800
2000-05-10,0.929129,0.937500,0.881696,0.886719,0.751654,535091200
2000-05-11,0.905134,0.930804,0.883929,0.917969,0.778144,499744000
2000-05-12,0.946429,0.986607,0.935407,0.960938,0.814568,306913600
2000-05-15,0.964844,0.964844,0.893973,0.901786,0.764426,678932800
2000-05-16,0.933175,0.973772,0.917411,0.943638,0.799903,440451200
2000-05-17,0.925223,0.925781,0.896205,0.905134,0.767264,398092800
2000-05-18,0.919643,0.936942,0.898438,0.899554,0.762534,373777600
2000-05-19,0.886161,0.886161,0.833705,0.839286,0.711446,740667200
2000-05-22,0.837054,0.837054,0.767857,0.803013,0.680698,755507200
2000-05-23,0.808036,0.833705,0.764509,0.766183,0.649478,517585600
2000-05-24,0.769531,0.801339,0.741071,0.782924,0.663669,678462400
2000-05-25,0.790179,0.827288,0.767857,0.779157,0.660476,406750400
2000-05-26,0.785714,0.802455,0.761161,0.771205,0.653735,181148800
2000-05-30,0.782366,0.786830,0.729911,0.781808,0.662723,713059200
