"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2023","11,854.35","11,913.23","11,967.99","11,833.07","973.39M","0.47%"
"04/25/2023","11,799.16","11,968.81","11,990.46","11,798.77","921.37M","-1.98%"
"04/24/2023","12,037.20","12,053.47","12,103.58","11,960.31","853.57M","-0.29%"
"04/21/2023","12,072.46","12,046.03","12,097.15","11,986.82","944.77M","0.11%"
"04/20/2023","12,059.56","12,039.08","12,155.96","12,011.95","899.17M","-0.80%"
"04/19/2023","12,157.23","12,063.68","12,191.10","12,060.17","879.49M","0.03%"
"04/18/2023","12,153.41","12,234.56","12,245.43","12,110.23","883.01M","-0.04%"
"04/17/2023","12,157.72","12,108.23","12,159.02","12,064.10","904.58M","0.28%"
"04/14/2023","12,123.47","12,117.91","12,205.72","12,026.55","874.14M","-0.35%"
"04/13/2023","12,166.27","11,997.42","12,178.80","11,995.94","921.41M","1.99%"
"04/12/2023","11,929.34","12,110.87","12,134.50","11,916.54","916.01M","-0.85%"
"04/11/2023","12,031.88","12,080.24","12,091.27","12,011.40","883.24M","-0.43%"
"04/10/2023","12,084.35","11,975.14","12,084.94","11,924.20","862.62M","-0.03%"
"04/06/2023","12,087.96","11,939.08","12,098.50","11,898.36","785.43M","0.76%"
"04/05/2023","11,996.86","12,081.76","12,086.75","11,931.84","894.37M","-1.07%"
"04/04/2023","12,126.33","12,208.49","12,224.68","12,081.81","877.51M","-0.52%"
"04/03/2023","12,189.45","12,146.09","12,196.34","12,086.52","950.52M","-0.27%"
"03/31/2023","12,221.91","12,031.54","12,227.93","12,030.44","1.16B","1.74%"
"03/30/2023","12,013.47","12,010.45","12,044.79","11,953.37","923.96M","0.73%"
"03/29/2023","11,926.24","11,855.59","11,941.59","11,823.35","915.05M","1.79%"
"03/28/2023","11,716.08","11,752.76","11,752.76","11,635.02","773.10M","-0.45%"
"03/27/2023","11,768.84","11,868.54","11,903.21","11,739.05","844.71M","-0.47%"
"03/24/2023","11,823.96","11,747.62","11,826.23","11,670.67","897.32M","0.31%"
"03/23/2023","11,787.40","11,811.32","11,962.69","11,684.52","1.00B","1.01%"
"03/22/2023","11,669.96","11,857.50","12,013.99","11,666.85","963.97M","-1.60%"
"03/21/2023","11,860.11","11,764.79","11,879.16","11,724.91","1.04B","1.58%"
"03/20/2023","11,675.54","11,614.39","11,695.55","11,550.69","1.08B","0.39%"
"03/17/2023","11,630.51","11,696.34","11,773.11","11,562.63","2.94B","-0.74%"
"03/16/2023","11,717.28","11,384.87","11,733.80","11,365.49","1.13B","2.48%"
"03/15/2023","11,434.05","11,291.17","11,447.90","11,238.44","1.22B","0.05%"
"03/14/2023","11,428.15","11,357.74","11,467.01","11,284.93","1.18B","2.14%"
"03/13/2023","11,188.84","11,041.46","11,326.73","10,982.80","1.31B","0.45%"
"03/10/2023","11,138.89","11,325.36","11,373.81","11,093.86","1.23B","-1.76%"
"03/09/2023","11,338.35","11,578.31","11,667.12","11,319.98","994.86M","-2.05%"
"03/08/2023","11,576.00","11,553.09","11,601.23","11,487.75","923.10M","0.40%"
"03/07/2023","11,530.33","11,670.98","11,705.97","11,512.03","973.96M","-1.25%"
"03/06/2023","11,675.74","11,736.87","11,827.92","11,667.48","977.57M","-0.11%"
"03/03/2023","11,689.01","11,524.65","11,699.63","11,514.74","965.05M","1.97%"
"03/02/2023","11,462.98","11,273.77","11,487.59","11,273.61","950.09M","0.73%"
"03/01/2023","11,379.48","11,447.58","11,479.00","11,349.87","964.54M","-0.66%"
"02/28/2023","11,455.54","11,451.05","11,548.23","11,435.39","1.26B","-0.10%"
"02/27/2023","11,466.98","11,517.19","11,565.23","11,444.60","874.29M","0.63%"
"02/24/2023","11,394.94","11,404.18","11,434.36","11,334.47","900.85M","-1.69%"
"02/23/2023","11,590.40","11,636.93","11,638.98","11,432.58","903.17M","0.72%"
"02/22/2023","11,507.07","11,517.20","11,582.52","11,445.17","942.98M","0.13%"
"02/21/2023","11,492.30","11,640.37","11,684.14","11,491.18","1.02B","-2.50%"
"02/17/2023","11,787.27","11,777.50","11,803.22","11,673.21","966.30M","-0.58%"
"02/16/2023","11,855.83","11,896.31","12,040.34","11,853.36","986.41M","-1.78%"
"02/15/2023","12,070.59","11,905.12","12,071.29","11,876.82","951.90M","0.92%"
"02/14/2023","11,960.15","11,808.20","11,999.85","11,760.57","929.01M","0.57%"
"02/13/2023","11,891.79","11,759.09","11,910.92","11,719.73","937.01M","1.48%"
"02/10/2023","11,718.12","11,714.60","11,775.80","11,630.54","934.05M","-0.61%"
"02/09/2023","11,789.58","12,069.10","12,070.96","11,745.11","1.03B","-1.02%"
